Abfrage_Datum,Zeitraum_Label,Start_Flughafen,Ziel_Flughafen,Hinflug_Datum,Rueckflug_Datum,Reiseklasse,Airline,Preis_EUR,Dauer,Abflugzeit
2025-12-30 18:40,6_Monate,FRA,HND,2026-06-28,2026-07-19,Economy,Lufthansa,1252,760,2026-06-28 14:05
2025-12-30 18:40,6_Monate,FRA,HND,2026-06-28,2026-07-19,Economy,ANA,1262,780,2026-06-28 12:10
2025-12-30 18:40,6_Monate,FRA,HND,2026-06-28,2026-07-19,Business,Lufthansa,4092,760,2026-06-28 14:05
2025-12-30 18:40,6_Monate,FRA,HND,2026-06-28,2026-07-19,Business,ANA,4095,780,2026-06-28 12:10
2025-12-30 18:40,10_Monate,FRA,HND,2026-10-26,2026-11-16,Economy,ANA,1255,790,2026-10-26 20:45
2025-12-30 18:40,10_Monate,FRA,HND,2026-10-26,2026-11-16,Economy,Lufthansa,1457,765,2026-10-26 14:00
2025-12-30 18:40,10_Monate,FRA,HND,2026-10-26,2026-11-16,Business,ANA,4090,790,2026-10-26 20:45
2025-12-30 18:40,10_Monate,FRA,HND,2026-10-26,2026-11-16,Business,Lufthansa,5718,765,2026-10-26 14:00
2025-12-30 18:40,6_Monate,MUC,HND,2026-06-28,2026-07-19,Economy,ANA,1036,760,2026-06-28 11:15
2025-12-30 18:40,6_Monate,MUC,HND,2026-06-28,2026-07-19,Economy,Lufthansa,1118,740,2026-06-28 12:40
2025-12-30 18:40,6_Monate,MUC,HND,2026-06-28,2026-07-19,Business,ANA,3021,760,2026-06-28 11:15
2025-12-30 18:40,6_Monate,MUC,HND,2026-06-28,2026-07-19,Business,Lufthansa,4643,740,2026-06-28 12:40
2025-12-30 18:40,10_Monate,MUC,HND,2026-10-26,2026-11-16,Economy,ANA,1116,750,2026-10-26 10:25
2025-12-30 18:40,10_Monate,MUC,HND,2026-10-26,2026-11-16,Economy,Lufthansa,1188,740,2026-10-26 12:55
2025-12-30 18:40,10_Monate,MUC,HND,2026-10-26,2026-11-16,Business,ANA,3023,750,2026-10-26 10:25
2025-12-30 18:40,10_Monate,MUC,HND,2026-10-26,2026-11-16,Business,Lufthansa,4664,740,2026-10-26 12:55
